Mass Error,Number of proteins,Avg Runtime,Number of true positives,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.001,40,1.093638554,32,35,28,31,29,35,34,33,33,33,31,29,32,36,37,37,32,34,32,32,34,37,35,36,31,36,29,29,37,33,33,33,34,34,27,35,33,31,33,36,35,31,33,32,34,33,35,37,34,35,32,34,35,31,29,32,31,34,32,34,36,37,33,32,36,32,34,28,32,34,29,29,35,36,33,30,32,30,34,28,36,30,34,35,30,28,27,40,33,30,32,33,32,32,34,27,36,34,36,32
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.002,40,1.321955795,26,21,22,27,22,21,24,22,27,22,24,22,28,21,20,26,26,24,26,27,24,25,18,22,23,24,20,29,23,26,21,30,24,22,22,27,23,28,21,24,24,31,23,26,22,26,27,22,27,28,25,31,26,22,25,25,17,23,22,25,28,19,18,25,25,21,23,21,28,20,25,17,25,24,22,23,23,26,25,20,20,26,21,22,23,21,28,28,28,28,26,25,26,24,30,25,29,19,24,17
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.003,40,1.067178962,21,18,16,20,14,18,21,21,17,18,17,24,21,19,14,15,17,20,14,24,18,10,19,15,21,22,21,21,16,22,21,20,19,22,16,21,19,16,17,19,16,24,22,20,15,19,16,17,17,23,20,18,22,15,24,17,22,15,17,25,19,20,23,15,17,22,24,15,20,15,18,18,18,21,18,24,22,19,22,18,17,14,18,12,18,16,19,23,20,22,20,14,17,19,16,25,19,23,16,23
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.004,40,1.074291553,13,16,10,14,20,15,13,11,18,20,19,13,19,15,19,17,9,14,12,18,16,20,16,13,14,15,9,17,10,17,19,18,15,14,15,19,9,17,16,18,18,25,12,17,10,18,16,12,17,18,12,10,18,10,12,19,13,16,10,10,16,15,16,18,12,15,15,21,15,18,12,12,14,14,17,14,13,18,17,14,13,19,18,16,15,12,15,13,14,18,9,18,12,15,13,17,11,13,16,11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.005,40,1.111427293,12,12,12,8,13,12,13,15,10,14,13,11,11,15,13,16,14,14,13,18,14,11,11,11,14,12,11,15,16,15,22,12,14,13,16,11,16,12,14,14,14,14,14,12,14,13,14,13,13,16,11,10,11,5,17,11,11,19,14,17,12,16,11,18,11,15,14,10,13,13,11,15,19,12,13,10,18,17,13,16,11,12,14,16,13,14,17,17,13,10,13,15,14,16,13,10,15,17,12,12
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.006,40,1.116943855,15,5,12,9,6,10,4,11,14,12,10,12,6,14,11,13,16,11,8,15,12,6,11,9,11,13,9,9,12,11,12,15,14,12,16,6,8,12,14,11,14,14,7,19,9,8,14,5,12,11,9,10,6,7,12,8,5,9,9,8,13,11,9,14,13,13,14,8,11,17,17,14,6,10,8,7,9,16,10,8,8,9,12,11,18,10,9,12,8,8,12,12,8,18,15,11,11,13,10,10
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.007,40,1.12631742,10,14,16,9,9,14,7,7,9,11,11,11,12,12,17,7,7,14,8,8,13,11,10,8,15,8,7,10,6,8,18,7,7,11,12,16,11,12,7,13,7,10,9,7,9,9,8,14,11,7,11,10,11,10,9,9,8,8,8,9,7,10,11,13,9,11,5,8,11,11,14,10,8,7,13,9,11,11,13,12,10,13,11,13,8,13,7,13,7,11,3,10,15,7,9,13,10,10,10,10
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.008,40,1.220041168,9,9,9,6,11,12,11,7,5,10,5,6,8,5,8,3,8,9,9,11,11,7,8,7,12,12,7,9,8,11,10,10,8,12,7,8,10,6,7,12,5,14,11,5,8,10,5,8,6,9,6,8,10,7,12,7,8,6,6,9,9,9,7,9,11,12,8,10,11,7,13,4,7,11,5,10,11,12,13,7,10,6,8,9,10,10,11,13,8,13,8,8,8,8,8,11,13,9,10,8
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.009,40,1.15161514,11,9,9,9,9,7,8,10,10,7,5,7,7,8,9,13,7,6,6,7,16,10,7,7,4,8,7,8,6,4,2,8,11,7,11,8,4,8,6,14,7,6,7,6,5,11,12,8,11,7,7,7,8,7,14,10,10,9,5,8,4,3,8,9,9,6,6,6,5,13,5,7,8,13,10,8,7,7,7,9,6,8,8,7,7,7,9,8,9,9,5,11,13,13,6,7,7,10,8,6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.01,40,1.230417624,7,6,8,9,9,7,8,5,7,6,6,6,8,8,3,12,11,9,5,10,6,11,8,8,10,7,5,6,9,7,3,12,5,6,10,6,11,3,7,7,6,6,10,9,5,10,4,8,10,12,6,10,7,6,4,5,4,9,7,7,5,6,5,5,6,10,8,6,5,6,7,9,11,12,3,6,6,11,13,11,1,5,5,12,8,5,9,11,9,11,10,8,6,9,12,7,7,8,9,7
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.001,50,1.619192097,42,42,44,38,44,35,42,37,38,40,41,43,43,40,45,46,41,44,43,41,43,43,37,40,43,37,42,42,45,45,44,37,45,38,40,35,41,45,35,39,39,47,40,39,43,41,44,42,42,41,42,39,45,36,33,45,42,39,41,39,37,41,44,39,42,43,40,43,35,37,39,44,41,42,41,38,40,43,38,39,42,40,42,38,35,47,43,40,44,38,42,47,40,38,40,43,44,46,44,37
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.002,50,1.514029257,35,32,32,35,27,30,31,26,35,27,30,30,33,31,30,30,31,32,27,34,31,29,31,31,31,33,29,36,23,30,40,26,32,32,34,26,33,23,29,33,34,32,28,28,22,32,24,32,32,27,27,34,23,22,30,29,26,33,30,34,27,29,35,34,27,30,30,30,26,27,32,31,35,30,28,34,29,30,28,26,39,29,30,26,29,34,33,30,33,30,29,29,25,25,32,32,29,25,26,23
